stations_id,stations_id,cluster
257,257,1
259,259,1
755,755,0
757,757,1
1197,1197,0
1214,1214,1
1224,1224,1
1255,1255,0
1346,1346,-1
1443,1443,1
1468,1468,-1
1584,1584,-1
1602,1602,1
2074,2074,0
2080,2080,0
2485,2485,0
2575,2575,0
2638,2638,-1
2712,2712,2
2812,2812,1
2814,2814,3
2886,2886,3
2953,2953,-1
3257,3257,0
3268,3268,0
3278,3278,0
3362,3362,0
3402,3402,0
3603,3603,0
3734,3734,0
3761,3761,0
3925,3925,0
3927,3927,2
4094,4094,2
4160,4160,0
4169,4169,1
4175,4175,-1
4177,4177,0
4189,4189,2
4300,4300,0
4349,4349,0
4703,4703,2
4887,4887,-1
4926,4926,0
4928,4928,0
4931,4931,0
71,71,0
5155,5155,3
5229,5229,-1
5275,5275,0
5562,5562,0
5664,5664,-1
5688,5688,-1
5731,5731,-1
5906,5906,0
6258,6258,2
6259,6259,0
6260,6260,0
6262,6262,0
6263,6263,-1
6275,6275,0
7187,7187,-1
7331,7331,3
7403,7403,-1
13674,13674,0
13965,13965,0
15444,15444,3
