stations_id,cluster
257,0
259,0
755,-1
757,0
1197,-1
1214,-1
1224,0
1255,1
1346,3
1443,0
1468,2
1584,2
1602,0
2074,2
2080,1
2485,-1
2575,-1
2638,2
2712,-1
2812,0
2814,4
2886,4
2953,3
3257,-1
3268,2
3278,1
3362,1
3402,2
3603,-1
3734,1
3761,1
3925,1
3927,-1
4094,-1
4160,-1
4169,0
4175,-1
4177,0
4189,-1
4300,2
4349,1
4703,-1
4887,-1
4926,1
4928,1
4931,1
71,2
5155,4
5229,2
5275,1
5562,-1
5664,-1
5688,3
5731,-1
5906,1
6258,-1
6259,-1
6260,-1
6262,-1
6263,-1
6275,-1
7187,-1
7331,4
7403,-1
13674,1
13965,2
15444,4
