,von_datum,bis_datum,stationshoehe_x,geobreite_x,geolaenge_x,stationsname,Landkreis
0,2004-10-01,2020-04-27,156.0,10.0138,51.2041,Eschwege,Werra-Meißner-Kreis
1,2005-07-01,2020-04-27,215.0,8.1164,49.7273,Alzey,Alzey-Worms
2,2005-03-01,2020-04-27,382.0,11.8546,49.4691,Amberg-Unterammersricht,Amberg
3,2005-03-01,2020-04-27,516.0,12.2925,48.0197,Amerang-Pfaffing,Rosenheim
4,2011-09-01,2020-04-27,75.0,7.4202,50.4237,Andernach,Mayen-Koblenz
5,1956-01-01,2020-04-27,54.0,13.9908,53.0316,Angermünde,Uckermark
6,2004-09-01,2020-04-27,9.0,13.6846,53.8412,Anklam,Vorpommern-Greifswald
7,1973-01-01,2020-04-27,42.0,13.4343,54.6792,Arkona,Vorpommern-Rügen
8,2004-11-04,2020-04-27,220.0,9.9113,49.9695,Arnstein-Müdesheim,Main-Spessart
9,1961-01-01,2020-04-27,164.0,11.292,51.3745,Artern,Kyffhäuserkreis
10,2005-01-01,2020-04-27,672.0,11.3642,47.8774,Attenkam,Bad Tölz-Wolfratshausen
11,1982-01-01,2020-04-27,387.0,12.714,50.5907,Aue,Erzgebirgskreis
12,1955-01-01,2020-04-27,461.0,10.942,48.4254,Augsburg,Aichach-Friedberg
13,2002-11-01,2020-04-27,240.0,8.2457,48.727,Baden-Baden-Geroldsau,Baden-Baden
14,2004-07-01,2020-04-27,273.0,7.6387,47.8064,Müllheim,Breisgau-Hochschwarzwald
15,1961-01-01,2020-04-27,240.0,10.9206,49.8743,Bamberg,Bamberg
16,2004-07-01,2020-04-27,110.0,9.43,52.3199,Barsinghausen-Hohenbostel,Region Hannover
17,1981-01-01,2020-04-27,3.0,12.7108,54.3406,Barth,Vorpommern-Rügen
18,1993-08-19,2020-04-27,55.0,13.4996,52.0614,Baruth,Teltow-Fläming
19,2004-05-01,2020-04-27,234.0,14.5042,51.1604,"Kubschütz, Kr, Bautzen",Bautzen
20,2006-07-01,2020-04-27,350.0,11.5197,49.9667,Heinersreuth-Vollhof,Bayreuth
21,2004-07-01,2013-07-08,120.0,8.0577,51.7204,Beckum-Unterberg,Warendorf
22,2004-08-01,2020-04-27,450.0,8.9673,49.5617,Oberzent-Beerfelden,Odenwaldkreis
23,2010-12-01,2020-04-27,103.0,8.1694,52.317,Belm,Osnabrück
24,1989-12-15,2011-09-01,127.0,7.5886,50.4135,Bendorf,Mayen-Koblenz
25,2002-01-01,2020-04-27,70.0,9.9248,52.8152,Bergen,Celle
26,2004-10-01,2020-04-27,210.0,7.9967,49.107,"Bergzabern, Bad",Südliche Weinstraße
27,2017-09-01,2020-04-27,303.0,11.2665,50.9074,"Berka, Bad (Flugplatz)",Weimarer Land
28,2004-07-01,2020-04-27,610.0,8.3683,50.9837,"Berleburg, Bad-Stünzel",Siegen-Wittgenstein
29,1969-12-01,2011-08-01,36.0,13.4057,52.5198,Berlin-Alexanderplatz,Berlin
30,1991-01-01,2020-04-27,60.0,13.5022,52.6309,Berlin-Buch,Berlin
31,2002-01-01,2020-04-27,51.0,13.3017,52.4537,Berlin-Dahlem (FU),Berlin
32,2004-05-01,2020-04-27,33.0,13.7309,52.404,Berlin-Kaniswall,Berlin
33,2007-08-01,2020-04-27,60.0,13.5598,52.5447,Berlin-Marzahn,Berlin
34,1973-01-01,2020-04-27,46.0,13.5306,52.3807,Berlin-Schönefeld,Dahme-Spreewald
35,1986-01-01,2020-04-27,36.0,13.3088,52.5644,Berlin-Tegel,Berlin
36,1951-01-01,2020-04-27,48.0,13.4021,52.4675,Berlin-Tempelhof,Berlin
37,2005-07-01,2020-04-27,84.0,11.7109,51.8218,Bernburg/Saale (Nord),Salzlandkreis
38,2005-08-01,2020-04-27,308.0,13.3003,51.0507,Nossen,Meißen
39,2005-11-01,2012-12-04,120.0,7.0664,49.9186,Bernkastel-Kues,Bernkastel-Wittlich
40,1961-01-01,2020-04-27,363.0,6.6868,49.264,Berus,Saarlouis
